"id","company_id/id","previous_bom_id/id","product_tmpl_id/id","product_uom_id/id","code","product_qty","type","ready_to_produce","consumption","sequence","active","bom_line_ids/id","bom_line_ids/product_id/id","bom_line_ids/product_uom_id/id","bom_line_ids/product_qty","bom_line_ids/manual_consumption","bom_line_ids/sequence"
"marin.bom_1001","marin.company_lmmg","","marin.product_template_1224","uom.product_uom_litre","Formulate Alfaspray XM 12x1L Batch 1000","1000.0","Manufacture this product"," When all components are available","Allowed with warning","14","True","marin.bom_line_1001","marin.product_product_1790","uom.product_uom_kgm","604.12","","1"
"","","","","","","","","","","","","marin.bom_line_1002","marin.product_product_1753","uom.product_uom_kgm","34.41","True","2"
"","","","","","","","","","","","","marin.bom_line_1003","marin.product_product_1750","uom.product_uom_kgm","229.4","True","3"
"","","","","","","","","","","","","marin.bom_line_1004","marin.product_product_2112","uom.product_uom_kgm","0.34","True","4"
"","","","","","","","","","","","","marin.bom_line_1005","marin.product_product_2113","uom.product_uom_kgm","1.14","True","5"
"","","","","","","","","","","","","marin.bom_line_1006","marin.product_product_1223","uom.product_uom_kgm","91.76","True","6"
"","","","","","","","","","","","","marin.bom_line_1007","marin.product_product_1752","uom.product_uom_kgm","114.7","True","7"
"","","","","","","","","","","","","marin.bom_line_1008","marin.product_product_2153","uom.product_uom_kgm","19.49","True","8"
"","","","","","","","","","","","","marin.bom_line_1009","marin.product_product_1751","uom.product_uom_kgm","51.61","True","9"
"","","","","","","","","","","","","marin.bom_line_1010","marin.product_product_1897","uom.product_uom_unit","1000.0","","10"
"","","","","","","","","","","","","marin.bom_line_1011","marin.product_product_1899","uom.product_uom_unit","1000.0","","11"
"","","","","","","","","","","","","marin.bom_line_1012","marin.product_product_1867","uom.product_uom_unit","83.0","","12"
"","","","","","","","","","","","","marin.bom_line_1013","marin.product_product_2146","uom.product_uom_unit","1083.0","","13"
"","","","","","","","","","","","","marin.bom_line_1014","marin.product_product_2366","uom.product_uom_unit","1.0","","14"
"marin.bom_1002","marin.company_lmmg","","marin.product_template_1224","uom.product_uom_litre","Formulate Alfaspray XM 12x1L Batch 500","1000.0","Manufacture this product"," When all components are available","Allowed with warning","15","True","marin.bom_line_1015","marin.product_product_1223","uom.product_uom_kgm","45.88","True","1"
"","","","","","","","","","","","","marin.bom_line_1016","marin.product_product_1750","uom.product_uom_kgm","114.7","True","1"
"","","","","","","","","","","","","marin.bom_line_1017","marin.product_product_1751","uom.product_uom_kgm","25.8","True","1"
"","","","","","","","","","","","","marin.bom_line_1018","marin.product_product_1752","uom.product_uom_kgm","57.35","True","1"
"","","","","","","","","","","","","marin.bom_line_1019","marin.product_product_1753","uom.product_uom_kgm","17.2","True","1"
"","","","","","","","","","","","","marin.bom_line_1020","marin.product_product_1790","uom.product_uom_kgm","302.06","","1"
"","","","","","","","","","","","","marin.bom_line_1021","marin.product_product_1867","uom.product_uom_unit","42.0","","1"
"","","","","","","","","","","","","marin.bom_line_1022","marin.product_product_1897","uom.product_uom_unit","500.0","","1"
