id,company_id/id,name,type,code,sequence,color,active,show_on_dashboard,refund_sequence,payment_sequence,x_treatment,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id,account_control_ids/id,can_access_user_ids/id,journal_group_ids/id
journal_ant01_lmmr,marin_data.company_lmmr,Suppliers advances FF,Cash,ANT01,26,10,True,,,,Fiscal real,,marin_data.account_120_01_001_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_120_01_001_lmmr,marin_data.account_201_01_001_lmmr",,
journal_ant02_lmmr,marin_data.company_lmmr,Suppliers advances NF,Cash,ANT02,29,10,True,,,,Not Fiscal real,,marin_data.account_120_01_002_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_120_01_002_lmmr,marin_data.account_201_01_002_lmmr",,marin_data.journal_group_2
journal_efc01_lmmr,marin_data.company_lmmr,Cash Main,Cash,EFC01,15,10,True,True,,,Not Fiscal real,,marin_data.account_101_01_001_lmmr,marin_data.account_201_01_002_lmmr,marin_data.account_105_01_002_lmmr,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_101_01_001_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_105_01_002_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_201_01_002_lmmr",,marin_data.journal_group_2
journal_efc02_lmmr,marin_data.company_lmmr,Cash USD,Cash,EFC02,22,10,True,,,,Not Fiscal real,base.USD,marin_data.account_101_01_003_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,,,marin_data.journal_group_2
journal_efc04_lmmr,marin_data.company_lmmr,Cash BAL1,Cash,EFC04,20,10,True,,,,Not Fiscal real,,marin_data.account_101_01_005_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_101_01_001_lmmr,marin_data.account_101_01_005_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_105_01_002_lmmr,marin_data.account_201_01_002_lmmr",,marin_data.journal_group_2
journal_efc05_lmmr,marin_data.company_lmmr,Cash SJN,Cash,EFC05,21,10,True,,,,Not Fiscal real,,marin_data.account_101_01_007_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_101_01_007_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_105_01_002_lmmr,marin_data.account_201_01_002_lmmr,marin_data.account_703_21_002_lmmr",,marin_data.journal_group_2
journal_eft_lmmr,marin_data.company_lmmr,Payments done by thirth party in name of the company FF,Cash,EFT,32,9,True,,,,Not Fiscal real,,marin_data.account_202_03_001_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_201_01_001_lmmr,marin_data.account_201_01_002_lmmr,marin_data.account_202_03_001_lmmr",,
journal_bnc01_lmmr,marin_data.company_lmmr,Bank BBVA 0194254961,Bank,BNC01,10,10,True,True,,,Fiscal real,,marin_data.account_102_01_001_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_000_lmmr,marin_data.account_102_01_001_lmmr,marin_data.account_102_01_020_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_105_01_001_lmmr,marin_data.account_120_01_001_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_201_02_001_lmmr,marin_data.account_202_03_001_lmmr,marin_data.account_202_03_003_lmmr,marin_data.account_202_03_099_lmmr,marin_data.account_210_01_001_lmmr,marin_data.account_252_07_001_lmmr,marin_data.account_401_04_014_lmmr,marin_data.account_401_04_015_lmmr,marin_data.account_701_01_001_lmmr,marin_data.account_702_01_001_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
journal_bnc03_lmmr,marin_data.company_lmmr,Bank BBVA CC 4406 (5619),Bank,BNC03,82,1,True,,,,Fiscal real,,marin_data.account_202_03_002_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_000_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_201_02_001_lmmr,marin_data.account_202_03_002_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
journal_bnc04_lmmr,marin_data.company_lmmr,Bank BBVA TN 5064,Bank,BNC04,84,1,True,,,,Fiscal real,,marin_data.account_202_03_004_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_111_lmmr,marin_data.account_105_01_001_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_202_03_003_lmmr,marin_data.account_202_03_004_lmmr",,
journal_bnc05_lmmr,marin_data.company_lmmr,Bank Banorte 0313328770,Bank,BNC05,83,10,,True,,,Fiscal real,,marin_data.account_102_01_002_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_002_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_105_01_001_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_202_03_003_lmmr,marin_data.account_401_04_014_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
journal_bnc06_lmmr,marin_data.company_lmmr,Bank American Express Gold,Bank,BNC06,88,1,True,,,,Fiscal real,,marin_data.account_202_03_006_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_000_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_120_01_001_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_201_02_001_lmmr,marin_data.account_202_03_006_lmmr,marin_data.account_202_03_099_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
journal_bnc07_lmmr,marin_data.company_lmmr,Bank American Express Platinum,Bank,BNC07,89,1,True,,,,Fiscal real,,marin_data.account_202_03_007_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_101_01_001_lmmr,marin_data.account_102_01_000_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_201_02_001_lmmr,marin_data.account_202_03_007_lmmr,marin_data.account_202_03_099_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
journal_bnc08_lmmr,marin_data.company_lmmr,Bank BBVA 1007025823,Bank,BNC08,88,1,,True,,,Fiscal real,,marin_data.account_202_03_005_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_111_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_202_03_005_lmmr,marin_data.account_703_21_001_lmmr",,
journal_bnc09_lmmr,marin_data.company_lmmr,Bank BBVA TN 5073,Bank,BNC09,90,1,True,,,,Fiscal real,,marin_data.account_202_03_003_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,,,
journal_bnc10_lmmr,marin_data.company_lmmr,Bank Efectivale - Expenses,Bank,BNC10,91,10,True,,,,Fiscal real,,marin_data.account_102_01_003_lmmr,,,,marin_data.account_703_21_002_lmmr,marin_data.account_704_23_002_lmmr,marin_data.account_102_01_000_lmmr,"marin_data.account_102_01_000_lmmr,marin_data.account_102_01_003_lmmr,marin_data.account_102_01_111_lmmr,marin_data.account_201_01_001_lmmr,marin_data.account_703_21_001_lmmr,marin_data.account_704_23_001_lmmr",,
